"code","libelle_x","pct_pop_0_24","pct_pop_25_64","pct_pop_65_plus","pct_union_libre","pct_ouvriers","pct_sans_emploi","pct_fam_3_enfants_plus","taux_de_natalite_annuel_moyen_2015_2021","taux_de_mortalite_annuel_moyen_2015_2021"
77390,"Roissy-en-Brie",35.3757425957244,52.16599453623,13.2778283682408,9.5,9.91717618490092,16.0689518525857,14.7,13.1,5.7
77407,"Saint-Fargeau-Ponthierry",31.020942408377,50.8611187655001,16.6505924497107,13,7.81895839074125,13.1162712434797,9.5,13,7.5
77413,"Saint-Germain-sur-Morin",33.3934552950271,51.5588765782015,14.5838701365627,11.6,4.5864467920639,12.0412496208675,8.3,10.9,4.7
77419,"Saint-Mammès",27.3167777104785,51.4536644457904,21.4112658994549,11.3,6.60205935796487,14.3406382160707,9.1,11,10.8
77420,"Saint-Mard",34.7543540421107,51.3127112035352,13.8029633480634,11.4,8.47413569014817,13.107822410148,11.2,10.3,5.3
77430,"Saint-Pathus",36.8512110726644,52.3592324630387,11.402956904687,11.4,8.52469329977981,11.8829337094499,13.6,10.6,3.4
77431,"Saint-Pierre-lès-Nemours",25.7200886262925,48.6152141802068,25.2584933530281,9.8,8.01329394387001,16.0953800298063,8,7.2,14
77437,"Saint-Soupplets",33.1659693165969,50.1813110181311,15.4253835425384,11.5,10.2928870292887,13.9223560910308,13.2,9.3,8.1
77438,"Saint-Thibault-des-Vignes",31.5512288541334,55.1867219917012,13.3258857325247,10,6.87839131822534,16.7249310027599,9.2,10.6,6
77445,"Savigny-le-Temple",40.5244182235333,50.07866273353,9.76401179941003,9.8,10.0065552277942,17.8851788879644,20.6,15,4
77449,"Serris",36.6783432928086,55.996290954049,6.88234082011127,14.3,6.70719142798269,11.4730405780989,9.4,14.3,4
77450,"Servon",30.4181389870436,52.5323910482921,16.3427561837456,10.2,7.59717314487632,11.8920837770678,8.9,10.8,5.3
77458,"Souppes-sur-Loing",31.5017598748533,48.8267500977708,19.5150567070786,11.2,12.6515447790379,19.1820837390458,13.2,12.3,11.5
77463,"Thomery",26.7370272647318,55.0864849017883,17.854001759015,11.4,4.25095279976546,11.5370834826227,6.1,8.1,6.9
77464,"Thorigny-sur-Marne",31.6770783277271,52.984142239308,15.223450264296,12.6,9.06295050456511,12.9413100238393,9.4,13.5,5.2
77468,"Torcy",36.5621101407949,52.5307431830333,13.2953127784709,10.9,8.78185706647657,17.3184636927385,16.1,16.4,4.4
77470,"Tournan-en-Brie",32.7218225419664,51.1990407673861,16.2709832134293,11.2,10.6354916067146,16.0594370624375,10,11,9.7
77475,"Trilport",33.3202125565833,51.0923046644361,15.7449320999803,12.3,8.08895886636489,14.8752622989042,11.3,10.4,6.4
77479,"Vaires-sur-Marne",31.5949104897174,48.8311880455689,18.3681017902057,10.1,6.5468264536174,15.103016924209,11.9,12.8,5.9
77482,"Varennes-sur-Seine",33.0531453362256,47.6681127982646,17.8958785249458,10.3,12.2830802603037,18.9788377561303,13.2,11,10.3
77487,"Vaux-le-Pénil",31.7970288168964,51.7540719527475,18.596742437802,9.2,8.36763916234115,13.6675235646958,10.2,9.1,5.1
77495,"Vert-Saint-Denis",37.1344366356835,49.5125821809114,13.5796871457719,10.7,7.17524370890954,13.3307169021455,15,12.5,5.1
77513,"Villenoy",33.0145447300259,53.3572424785814,13.4090456266188,13.3,9.00577804343495,15.0865051903114,12.1,17.5,4.6
77514,"Villeparisis",35.4746103944523,52.695548430393,12.2735068227574,10.4,10.8120199835956,16.6814664467842,16,17.2,5.1
78003,"Ablis",33.028263795424,52.1938088829071,15.0740242261104,11.5,8.47913862718708,12.3183828174352,11,11.8,6.4
78005,"Achères",33.6905653313366,54.5909771621116,12.0788094346687,11,8.09621864470236,14.8430873621713,11.6,16.3,4.3
78015,"Andrésy",32.3280423280423,51.7687074829932,16.0241874527589,11.4,5.13227513227513,12.6370663311163,11,13.2,6
78029,"Aubergenville",34.3021839733701,50.5561419176748,12.9333441584801,11,9.87253389624097,16.4083429008802,16.1,14.6,6.6
78043,"Bailly",29.7260273972603,44.6575342465753,24.958904109589,5.7,1.53424657534247,18.3425414364641,9.5,8.3,5.3
78062,"Beynes",30.7207562032296,51.1881318104241,17.7628987790469,10.5,5.40895365629513,11.3800288507774,8.1,9.7,5.1
78073,"Bois-d'Arcy",32.8409459021704,53.8516358924522,14.1626174279236,12.1,5.51344347262715,19.4903220984979,7.2,14.1,4
78089,"Bonnières-sur-Seine",34.6169114728067,50.9527590313617,14.2715363239381,10.8,11.9888844779674,14.4282069125493,13.3,14.1,9.3
78092,"Bougival",32.3441479348909,51.6443361753959,15.9007861809323,9.4,3.06721293322999,12.748846407383,10,13.1,5.1
78117,"Buc",28.9527027027027,51.5709459459459,18.7331081081081,8.3,2.01013513513514,12.3767568701489,9.9,10,5.6
78118,"Buchelay",37.0059880239521,45.688622754491,17.9940119760479,7.8,7.24550898203593,16.1477190441709,19,15.3,5.7
78123,"Carrières-sous-Poissy",35.6737278881852,54.3677658877484,10.7447040838611,12.9,7.85105918322778,16.3170021828765,17.1,21,5.9
78124,"Carrières-sur-Seine",33.1959037105998,50.8644766591302,13.0868466551403,10.1,4.26253491155739,14.6982042559924,10.1,11.2,4.3
78126,"La Celle-Saint-Cloud",32.8872826723969,49.7411603828873,17.6157452627466,7.8,4.37097089275249,17.5246763993144,12.4,10.5,7
78133,"Chambourcy",32.0432357043236,48.0822873082287,19.6129707112971,7.8,2.40585774058577,17.1235857267189,11.7,7.7,8.6
78138,"Chanteloup-les-Vignes",48.3744760130415,59.1429902189101,14.0661387983232,8.5,13.1532370749884,19.4073817362675,21,18.4,6.1
78146,"Chatou",30.8779385476745,53.4419373334682,17.6228540591588,9.3,3.10971702249654,15.348,10.3,11.9,7
78158,"Le Chesnay-Rocquencourt",28.2110981761738,48.0177208640538,25.666149269176,7.6,2.79071271504333,17.6685190684257,10.8,9,8.6
78160,"Chevreuse",28.2695086705202,53.0888728323699,19.346098265896,9.3,4.22687861271676,13.5657193605684,9.4,8.1,11.8
78165,"Les Clayes-sous-Bois",30.8870453095086,50.9311365086732,17.9207518709752,9.1,6.55566513894529,15.3229809260441,9,11.8,5.6
78168,"Coignières",35.4123829106694,50.3769705277587,14.8503541238291,10.4,8.68174548777702,17.4434087882823,17.8,11.7,4.2
78172,"Conflans-Sainte-Honorine",32.166119245115,52.5524689639815,15.918833157045,10.6,6.1209152146078,15.2713891444342,10.1,14.3,8.2
78190,"Croissy-sur-Seine",30.4837003558034,51.8607558419079,18.6556399653813,7.6,2.42330993364747,16.8982833119234,10.2,8.4,6.9
78206,"Ecquevilly",30.694275274056,53.7637028014616,15.0791717417783,10.6,7.77101096224117,14.0755696567638,11.2,14.7,5.3
78208,"Élancourt",35.8024691358025,53.0979219385016,13.2466835365386,9.3,6.76328502415459,14.5598826928883,14.1,15.4,4.2
78217,"Épône",31.1921032649962,49.5368261199696,19.3014426727411,10.1,8.62566438876234,13.2994732881866,9.2,11.8,6.2
78220,"Les Essarts-le-Roi",31.0405904059041,51.6752767527675,17.1217712177122,9.6,6.1549815498155,14.8643825838687,10.3,9.9,6.2
78224,"L'Étang-la-Ville",30.2803338326557,48.2987374277766,21.6991226193024,6.5,1.26257222341108,16.5305010893246,9.8,7.6,6.6
78242,"Fontenay-le-Fleury",29.9368264585656,52.6570048309179,16.0386473429952,10.7,5.88628762541806,14.6225141725907,10.7,14,5.4
78255,"Freneuse",35.3092182030338,45.6942823803967,18.9498249708285,11.7,8.2147024504084,16.6522615960818,15.8,11.6,6
78267,"Gargenville",32.0361185298232,49.8410275976091,17.3343507567086,11.6,8.73712323540633,13.3737185461323,11.3,12.6,8.5
78297,"Guyancourt",36.142283887642,53.5298918588043,10.5658709106985,11.4,5.97837176086513,14.6763244719178,13.9,15.6,3.3
78310,"Houdan",27.1154366044877,49.662070829954,23.1684238983509,13.4,8.73208975398756,12.1830985915493,7.8,11.3,20.1
78311,"Houilles",31.4359173667374,55.0988071392269,14.0482525636043,9.4,4.03300547101558,13.3598203489376,8.3,14.3,5.5
